BIRTH_YEAR	Borough	count
2012	Bronx 	0.099293059125964
2012	Brooklyn 	0.15456298200514137
2012	Manhattan 	0.4026349614395887
2012	Outside_NYC	0.2332904884318766
2012	Queens 	0.10604113110539845
2012	Staten Island 	0.004177377892030848
2013	Bronx 	0.0893719806763285
2013	Brooklyn 	0.15670289855072464
2013	Manhattan 	0.401268115942029
2013	Outside_NYC	0.25
2013	Queens 	0.09963768115942029
2013	Staten Island 	0.0030193236714975845
2014	Bronx 	0.09474276075344391
2014	Brooklyn 	0.16080967107112734
2014	Manhattan 	0.4037109924093337
2014	Outside_NYC	0.24571267922406523
2014	Queens 	0.0908068597132415
2014	Staten Island 	0.004217036828788305
2015	Bronx 	0.08779840848806367
2015	Brooklyn 	0.17214854111405836
2015	Manhattan 	0.4015915119363395
2015	Outside_NYC	0.246684350132626
2015	Queens 	0.0870026525198939
2015	Staten Island 	0.004774535809018567
2016	Bronx 	0.08902691511387163
2016	Brooklyn 	0.18374741200828157
2016	Manhattan 	0.3863871635610766
2016	Outside_NYC	0.2567287784679089
2016	Queens 	0.08152173913043478
2016	Staten Island 	0.002587991718426501
2017	Bronx 	0.09197547320714476
2017	Brooklyn 	0.19221540922420688
2017	Manhattan 	0.39002932551319647
2017	Outside_NYC	0.2460677152759264
2017	Queens 	0.07517995201279659
2017	Staten Island 	0.0045321247667288725
2018	Bronx 	0.09753619507239014
2018	Brooklyn 	0.18008636017272034
2018	Manhattan 	0.38684277368554737
2018	Outside_NYC	0.24333248666497334
2018	Queens 	0.08763017526035052
2018	Staten Island 	0.004572009144018288
2019	Bronx 	0.10193187595322827
2019	Brooklyn 	0.1809862735129639
2019	Manhattan 	0.38307066598881545
2019	Outside_NYC	0.24097610574478903
2019	Queens 	0.08896797153024912
2019	Staten Island 	0.004067107269954245
2020	Bronx 	0.10407993338884262
2020	Brooklyn 	0.19122953094643352
2020	Manhattan 	0.3485983902303636
2020	Outside_NYC	0.2589508742714405
2020	Queens 	0.0913127948931446
2020	Staten Island 	0.005828476269775187
